Week,Monday Date,Tags,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday,Total
1,30/06/2025,Nika,,13,10.5,12.5,11.5,14.5,12,75
2,07/07/2025,Nika,13,13,13,12.5,12.5,13,13,90
3,14/07/2025,Nika,16.5,16.5,16.5,16.5,16.5,16,16.5,115
4,21/07/2025,Nika,12.5,12.5,12.5,12.5,13,12.5,12.5,88
5,28/07/2025,Nika,15,15,15,15,14.5,15,14.5,104
6,04/08/2025,Nika,16,16,16,16,16,16,16,112
7,11/08/2025,Nika,14,14,14,13.5,14,13.5,14,97
8,18/08/2025,Nika,15.5,15.5,15.5,15.5,15,15.5,15.5,108
9,25/08/2025,Nika,15.5,15.5,15.5,16,15.5,15.5,15.5,109
10,01/09/2025,Nika,15,15,15,15,15,15,15,105
11,08/09/2025,Nika,13.5,13.5,14,13.5,13.5,13.5,13.5,95
12,15/09/2025,Nika,13.5,13,13.5,13,13.5,13.5,13,93
13,22/09/2025,Nika,19.5,19.5,20,19.5,19.5,19.5,19.5,137
14,29/09/2025,Nika,11,11,11,11,11,11,11,77
15,06/10/2025,Nika,14,14,14,14,14,14,14,98
16,13/10/2025,Nika,14.5,14.5,14,14.5,14,14.5,14,100
17,20/10/2025,Nika,13,13,13,13,13,13,13,91
18,27/10/2025,Nika,16.5,16.5,17,16.5,16.5,16.5,16.5,116
19,03/11/2025,Nika,15,15,15.5,15,15.5,15,15,106
20,10/11/2025,Nika,13,13,13,13,13,13,13,91
21,17/11/2025,Nika,12,12,12,11.5,12,11.5,12,83
22,24/11/2025,Nika,17,17,17.5,17,17,17.5,17,120
23,01/12/2025,Nika,14,13.5,14,13.5,14,13.5,13.5,96
24,08/12/2025,Nika,12,12,12,12,12,12,12,84
25,15/12/2025,Nika,14,14,14,13.5,14,13.5,14,97
26,22/12/2025,Nika,18.5,18.5,18,18.5,18,18.5,18,128
27,29/12/2025,Nika,14.5,14,14.5,14,14.5,14.5,14,100
28,05/01/2026,Nika,16,15.5,16,15.5,16,15.5,15.5,110
29,12/01/2026,Nika,15.5,15.5,15.5,15,15.5,15.5,15.5,108
30,19/01/2026,Nika,20.5,17.5,19,16,18,13,20,124
31,26/01/2026,Nika,14,,,,,,,
